# lon lat E[km] N[km] Dep[km] strike dip Area ID
142.769 38.158 1.000 1.000 16.350 194.000 10.000 841.000 120
142.454 38.219 1.000 1.000 22.070 194.000 13.000 841.000 121
142.143 38.279 1.000 1.000 29.690 194.000 17.000 841.000 122
141.839 38.336 1.000 1.000 39.250 194.000 21.000 841.000 123
141.543 38.392 1.000 1.000 50.710 194.000 25.000 841.000 124
141.255 38.444 1.000 1.000 63.940 194.000 29.000 841.000 125
143.642 37.712 1.000 1.000 8.070 194.000 3.000 841.000 126
143.324 37.777 1.000 1.000 9.710 194.000 4.000 841.000 127
143.006 37.841 1.000 1.000 12.340 194.000 6.000 841.000 128
142.689 37.904 1.000 1.000 16.350 194.000 10.000 841.000 129
142.375 37.965 1.000 1.000 22.070 194.000 13.000 841.000 130
142.066 38.025 1.000 1.000 29.690 194.000 17.000 841.000 131
141.762 38.082 1.000 1.000 39.250 194.000 21.000 841.000 132
141.467 38.137 1.000 1.000 50.710 194.000 25.000 841.000 133
141.180 38.190 1.000 1.000 63.940 194.000 29.000 841.000 134
143.560 37.459 1.000 1.000 8.070 194.000 3.000 841.000 135
143.242 37.524 1.000 1.000 9.710 194.000 4.000 841.000 136
142.925 37.588 1.000 1.000 12.340 194.000 6.000 841.000 137
142.610 37.650 1.000 1.000 16.350 194.000 10.000 841.000 138
142.297 37.711 1.000 1.000 22.070 194.000 13.000 841.000 139
141.988 37.771 1.000 1.000 29.690 194.000 17.000 841.000 140
141.686 37.828 1.000 1.000 39.250 194.000 21.000 841.000 141
141.392 37.883 1.000 1.000 50.710 194.000 25.000 841.000 142
141.106 37.935 1.000 1.000 63.940 194.000 29.000 841.000 143
143.478 37.206 1.000 1.000 8.070 194.000 3.000 841.000 144
143.162 37.271 1.000 1.000 9.710 194.000 4.000 841.000 145
142.846 37.334 1.000 1.000 12.340 194.000 6.000 841.000 146
142.531 37.397 1.000 1.000 16.350 194.000 10.000 841.000 147
142.219 37.457 1.000 1.000 22.070 194.000 13.000 841.000 148
141.912 37.517 1.000 1.000 29.690 194.000 17.000 841.000 149
141.610 37.574 1.000 1.000 39.250 194.000 21.000 841.000 150
141.317 37.628 1.000 1.000 50.710 194.000 25.000 841.000 151
141.032 37.681 1.000 1.000 63.940 194.000 29.000 841.000 152
143.397 36.953 1.000 1.000 8.070 194.000 3.000 841.000 153
143.082 37.017 1.000 1.000 9.710 194.000 4.000 841.000 154
142.767 37.081 1.000 1.000 12.340 194.000 6.000 841.000 155
142.453 37.143 1.000 1.000 16.350 194.000 10.000 841.000 156
142.142 37.203 1.000 1.000 22.070 194.000 13.000 841.000 157
141.835 37.262 1.000 1.000 29.690 194.000 17.000 841.000 158
141.535 37.319 1.000 1.000 39.250 194.000 21.000 841.000 159
141.243 37.374 1.000 1.000 50.710 194.000 25.000 841.000 160
140.959 37.426 1.000 1.000 63.940 194.000 29.000 841.000 161
143.316 36.699 1.000 1.000 8.070 194.000 3.000 841.000 162
143.002 36.764 1.000 1.000 9.710 194.000 4.000 841.000 163
142.688 36.827 1.000 1.000 12.340 194.000 6.000 841.000 164
142.375 36.889 1.000 1.000 16.350 194.000 10.000 841.000 165
142.065 36.949 1.000 1.000 22.070 194.000 13.000 841.000 166
141.760 37.008 1.000 1.000 29.690 194.000 17.000 841.000 167
141.460 37.065 1.000 1.000 39.250 194.000 21.000 841.000 168
141.169 37.119 1.000 1.000 50.710 194.000 25.000 841.000 169
140.886 37.171 1.000 1.000 63.940 194.000 29.000 841.000 170
143.236 36.446 1.000 1.000 8.070 194.000 3.000 841.000 171
142.923 36.510 1.000 1.000 9.710 194.000 4.000 841.000 172
142.610 36.573 1.000 1.000 12.340 194.000 6.000 841.000 173
142.298 36.635 1.000 1.000 16.350 194.000 10.000 841.000 174
141.989 36.695 1.000 1.000 22.070 194.000 13.000 841.000 175
141.684 36.754 1.000 1.000 29.690 194.000 17.000 841.000 176
141.386 36.810 1.000 1.000 39.250 194.000 21.000 841.000 177
141.095 36.865 1.000 1.000 50.710 194.000 25.000 841.000 178
140.813 36.917 1.000 1.000 63.940 194.000 29.000 841.000 179
143.157 36.193 1.000 1.000 8.070 194.000 3.000 841.000 180
142.844 36.256 1.000 1.000 9.710 194.000 4.000 841.000 181
142.532 36.319 1.000 1.000 12.340 194.000 6.000 841.000 182
142.221 36.381 1.000 1.000 16.350 194.000 10.000 841.000 183
141.913 36.441 1.000 1.000 22.070 194.000 13.000 841.000 184
141.610 36.500 1.000 1.000 29.690 194.000 17.000 841.000 185
141.312 36.556 1.000 1.000 39.250 194.000 21.000 841.000 186
141.023 36.610 1.000 1.000 50.710 194.000 25.000 841.000 187
