# lon lat E[km] N[km] Dep[km] strike dip Area ID
84.590 27.900 1.000 1.000 6.860 293.000 6.000 100.000 126
84.630 27.980 1.000 1.000 7.910 293.000 6.000 100.000 127
84.670 28.060 1.000 1.000 8.950 293.000 6.000 100.000 128
84.710 28.150 1.000 1.000 10.000 293.000 6.000 100.000 129
84.750 28.230 1.000 1.000 11.050 293.000 6.000 100.000 130
84.790 28.310 1.000 1.000 12.090 293.000 6.000 100.000 131
84.830 28.390 1.000 1.000 13.140 293.000 6.000 100.000 132
84.870 28.480 1.000 1.000 14.180 293.000 6.000 100.000 133
84.910 28.560 1.000 1.000 15.230 293.000 6.000 100.000 134
84.500 27.930 1.000 1.000 6.860 293.000 6.000 100.000 135
84.540 28.020 1.000 1.000 7.910 293.000 6.000 100.000 136
84.570 28.100 1.000 1.000 8.950 293.000 6.000 100.000 137
84.610 28.180 1.000 1.000 10.000 293.000 6.000 100.000 138
84.650 28.260 1.000 1.000 11.050 293.000 6.000 100.000 139
84.690 28.350 1.000 1.000 12.090 293.000 6.000 100.000 140
84.730 28.430 1.000 1.000 13.140 293.000 6.000 100.000 141
84.770 28.510 1.000 1.000 14.180 293.000 6.000 100.000 142
84.810 28.590 1.000 1.000 15.230 293.000 6.000 100.000 143
84.400 27.970 1.000 1.000 6.860 293.000 6.000 100.000 144
84.440 28.050 1.000 1.000 7.910 293.000 6.000 100.000 145
84.480 28.130 1.000 1.000 8.950 293.000 6.000 100.000 146
84.520 28.220 1.000 1.000 10.000 293.000 6.000 100.000 147
84.560 28.300 1.000 1.000 11.050 293.000 6.000 100.000 148
84.600 28.380 1.000 1.000 12.090 293.000 6.000 100.000 149
84.640 28.460 1.000 1.000 13.140 293.000 6.000 100.000 150
84.680 28.550 1.000 1.000 14.180 293.000 6.000 100.000 151
84.720 28.630 1.000 1.000 15.230 293.000 6.000 100.000 152
84.310 28.000 1.000 1.000 6.860 293.000 6.000 100.000 153
84.350 28.090 1.000 1.000 7.910 293.000 6.000 100.000 154
84.390 28.170 1.000 1.000 8.950 293.000 6.000 100.000 155
84.430 28.250 1.000 1.000 10.000 293.000 6.000 100.000 156
84.470 28.330 1.000 1.000 11.050 293.000 6.000 100.000 157
84.510 28.420 1.000 1.000 12.090 293.000 6.000 100.000 158
84.540 28.500 1.000 1.000 13.140 293.000 6.000 100.000 159
84.580 28.580 1.000 1.000 14.180 293.000 6.000 100.000 160
84.620 28.660 1.000 1.000 15.230 293.000 6.000 100.000 161
